,pct_agreement,pct_model_dominant,pct_observation_dominant
DML,29.31293431074439,25.302880626405745,45.384185062849866
WIO,46.24641133101919,11.158398805289735,42.595189863691076
EIO,39.27867038477721,16.683118428597115,44.03821118662568
Aus,51.054579182889995,20.272890211169592,28.672530605940413
VOL,39.276655080201074,22.88008291034209,37.843262009456836
AS,43.312632554035616,21.5725685981006,35.11479884786378
BS,28.208121021721535,54.69409514963314,17.097783828645323
WS,31.989025013401122,41.555344503568875,26.455630483030003
ANT,40.18916504328156,27.108520054248924,32.70231490246952
